GROUP,PACKAGE,CLASS,Mutation Coverage,Line Coverage,,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Text,org.apache.commons.text.similarity,JaccardSimilarity,1,1,,102,0,12,0,18,0,9,0,3
Apache Commons Text,org.apache.commons.text.similarity,HammingDistance,1,0.9,,38,1,9,1,9,1,6,0,2
Apache Commons Text,org.apache.commons.text.similarity,CosineDistance,1,1,,43,0,0,0,9,0,2,0,2
Apache Commons Text,org.apache.commons.text.matcher,StringMatcherFactory,1,1,,132,0,16,0,35,0,22,0,14
Apache Commons Text,org.apache.commons.text.lookup,UrlDecoderStringLookup,1,0.78,,16,0,2,2,5,0,3,0,2
Apache Commons Text,org.apache.commons.text.lookup,UrlEncoderStringLookup,1,0.78,,16,0,2,2,5,0,3,0,2
Apache Commons Text,org.apache.commons.text.lookup,Base64DecoderStringLookup,1,1,,17,0,2,0,4,0,3,0,2
Apache Commons Text,org.apache.commons.text.lookup,NullStringLookup,1,1,,7,0,0,0,2,0,2,0,2
Apache Commons Text,org.apache.commons.text.lookup,ScriptStringLookup,1,1,,77,0,6,0,15,0,5,0,2
Apache Commons Text,org.apache.commons.text.lookup,DateStringLookup,1,0.85,,29,0,4,2,9,0,5,0,3
Apache Commons Text,org.apache.commons.text.lookup,EnvironmentVariableStringLookup,1,1,,12,0,2,0,2,0,3,0,2
Apache Commons Text,org.apache.commons.text.lookup,ResourceBundleStringLookup,1,0.95,,92,1,15,1,20,1,11,0,4
Apache Commons Text,org.apache.commons.text.lookup,FileStringLookup,1,0.87,,54,1,3,2,11,1,3,0,2
Apache Commons Text,org.apache.commons.text.lookup,IllegalArgumentExceptions,1,0.5,,15,0,0,0,2,0,2,0,2
Apache Commons Text,org.apache.commons.text.lookup,Base64EncoderStringLookup,1,1,,15,0,2,0,4,0,3,0,2
Apache Commons Text,org.apache.commons.text.lookup,PropertiesStringLookup,1,0.79,,49,1,3,4,12,1,3,0,2
Apache Commons Text,org.apache.commons.text.lookup,SystemPropertyStringLookup,1,1,,11,0,0,0,4,0,2,0,2
Apache Commons Text,org.apache.commons.text.lookup,XmlStringLookup,1,0.8,,43,1,3,3,10,1,3,0,2
Apache Commons Text,org.apache.commons.text.translate,AggregateTranslator,1,1,,57,0,10,0,13,0,7,0,2
Apache Commons Text,org.apache.commons.text.translate,JavaUnicodeEscaper,1,1,,50,0,0,0,8,0,6,0,6
Apache Commons Text,org.apache.commons.text.translate,EntityArrays,1,1,,1374,0,2,0,280,0,4,0,3
Apache Commons Text,org.apache.commons.text.translate,UnicodeUnpairedSurrogateRemover,1,1,,13,0,4,0,4,0,4,0,2
Apache Commons Text,org.apache.commons.text.translate,CodePointTranslator,1,1,,18,0,2,0,4,0,3,0,2
Apache Commons Text,org.apache.commons.text.translate,NumericEntityEscaper,1,1,,64,0,2,0,16,0,8,0,7
Apache Commons Text,org.apache.commons.text.translate,CsvTranslators,1,1,,32,0,0,0,3,0,1,0,1
Apache Commons Text,org.apache.commons.text.diff,StringsComparator.Snake,,,,21,0,0,0,8,0,4,0,4
Apache Commons Text,org.apache.commons.text,StrLookup.SystemPropertiesStrLookup,,,,8,0,2,2,3,0,2,0,1
Apache Commons Text,org.apache.commons.text,StrMatcher,,,,139,0,16,0,35,0,24,0,16
Apache Commons Text,org.apache.commons.text,StrBuilder.StrBuilderReader,,,,148,1,23,0,30,1,20,0,9
Apache Commons Text,org.apache.commons.text,StrBuilder,,,,3542,8,524,6,755,9,406,1,148
Apache Commons Text,org.apache.commons.text,StrMatcher.CharSetMatcher,,,,22,0,2,0,5,0,3,0,2
Apache Commons Text,org.apache.commons.text,RandomStringGenerator,,,,178,2,26,1,40,2,17,0,5
Apache Commons Text,org.apache.commons.text,CharacterPredicates.new CharacterPredicates() {...},,,,9,0,0,0,2,0,2,0,2
Apache Commons Text,org.apache.commons.text,CharacterPredicates.new CharacterPredicates() {...},,,,16,0,4,0,2,0,4,0,2
Apache Commons Text,org.apache.commons.text,CharacterPredicates.new CharacterPredicates() {...},,,,9,0,0,0,2,0,2,0,2
Apache Commons Text,org.apache.commons.text,CharacterPredicates.new CharacterPredicates() {...},,,,16,0,4,0,2,0,4,0,2
Apache Commons Text,org.apache.commons.text,CharacterPredicates.new CharacterPredicates() {...},,,,16,0,4,0,2,0,4,0,2
Apache Commons Text,org.apache.commons.text,CharacterPredicates.new CharacterPredicates() {...},,,,22,0,6,0,3,0,5,0,2
Apache Commons Text,org.apache.commons.text,CharacterPredicates.new CharacterPredicates() {...},,,,18,0,4,0,2,0,4,0,2
Apache Commons Text,org.apache.commons.text,StringEscapeUtils.XsiUnescaper,,,,54,1,7,1,15,1,5,0,2
Apache Commons Text,org.apache.commons.text,StrLookup,,,,29,0,0,0,8,0,6,0,6
Apache Commons Text,org.apache.commons.text,StrMatcher.TrimMatcher,,,,12,0,2,0,3,0,3,0,2
Apache Commons Text,org.apache.commons.text,StrBuilder.StrBuilderTokenizer,,,,27,2,2,2,9,2,3,0,3
Apache Commons Text,org.apache.commons.text,StringEscapeUtils,,,,844,0,0,0,132,0,20,0,20
Apache Commons Text,org.apache.commons.text,StrMatcher.StringMatcher,,,,40,0,6,1,10,1,5,1,2
Apache Commons Text,org.apache.commons.text,StrLookup.ResourceBundleLookup,,,,23,0,6,1,6,1,5,1,2
Apache Commons Text,org.apache.commons.text,StrMatcher.NoMatcher,,,,5,0,0,0,3,0,2,0,2
Apache Commons Text,org.apache.commons.text,TextStringBuilder,,,,3549,8,524,6,756,9,407,1,149
Apache Commons Text,org.apache.commons.text,TextStringBuilder.TextStringBuilderTokenizer,,,,27,2,2,2,8,2,3,0,3
Apache Commons Text,org.apache.commons.text,TextStringBuilder.StrBuilderReader,,,,148,1,23,0,30,1,20,0,9
Apache Commons Text,org.apache.commons.text.matcher,AbstractStringMatcher.CharSetMatcher,,,,22,0,2,0,5,0,3,0,2
Apache Commons Text,org.apache.commons.text.matcher,AbstractStringMatcher.StringMatcher,,,,40,0,6,1,10,1,5,1,2
Apache Commons Text,org.apache.commons.text.matcher,AbstractStringMatcher,,,,3,0,0,1,2,1,1,1,1
Apache Commons Text,org.apache.commons.text.matcher,AbstractStringMatcher.CharMatcher,,,,16,0,2,0,4,0,3,0,2
Apache Commons Text,org.apache.commons.text.matcher,AbstractStringMatcher.TrimMatcher,,,,12,0,2,0,3,0,3,0,2
Apache Commons Text,org.apache.commons.text.translate,NumericEntityUnescaper.OPTION,,,,34,0,0,0,1,0,1,0,1
Apache Commons Text,org.apache.commons.text.translate,CsvTranslators.CsvEscaper,,,,27,0,2,0,8,0,3,0,2
Apache Commons Text,org.apache.commons.text.translate,CsvTranslators.CsvUnescaper,,,,46,0,6,0,9,0,5,0,2
